Experiment,V-Score_Det,R-Score_Det,R-Score_Rand
1,0.0003120525716803113,0.086354,0.045526
2,4.894625700980324e-05,0.018559,0.004171
3,1.0,1.0,0.976331070957779
4,0.3333333333333333,0.6563382085473405,0.9180846306305004
5,0.34408602150537637,0.317644,0.739032
6,1.0,1.0,0.984872
7,0.7692307692307693,0.758404,0.975718
8,1.0,1.0,0.998814
9,1.0,1.0,0.999542
10,0.035386631716906945,0.261215,0.524087
11,0.7692307692307693,0.979172,0.979404
12,0.0019711902956785444,0.22438,0.354705
13,0.2074074074074074,0.996964,0.981408
14,0.6,0.999838,0.996574
15,1.0,1.0,0.989174
