rows_ciphs_distr,v,r
10000_10_lin-lin,98.0,96.99415471627557
10000_50_lin-lin,32.8,17.64747546704533
10000_100_lin-lin,16.4,10.23070654506446
10000_10_lin-slin,96.0,93.57112379553054
10000_50_lin-slin,28.2,18.137429567569054
10000_100_lin-slin,10.4,7.607124730701966
10000_10_lin-invlin,100.0,100.0
10000_50_lin-invlin,44.6,37.708152580147
10000_100_lin-invlin,13.1,10.43915543107585
10000_10_lin-randlin,100.0,100.0
10000_50_lin-randlin,83.4,73.94151079725063
10000_100_lin-randlin,51.6,40.21344887448471
10000_10_lin-zipf,96.0,95.92979521761681
10000_50_lin-zipf,37.2,37.24661287591714
10000_100_lin-zipf,17.7,17.128516514732762
10000_10_zipf-zipf,95.0,99.574753947608
10000_50_zipf-zipf,38.2,96.42698253355624
10000_100_zipf-zipf,18.6,95.31819363619057
10000_10_zipf-randzipf,100.0,100.0
10000_50_zipf-randzipf,72.8,97.9574378245255
10000_100_zipf-randzipf,44.5,91.85027970686073
10000_10_zipf-invzipf,100.0,100.0
10000_50_zipf-invzipf,47.8,72.29294608927889
10000_100_zipf-invzipf,27.1,59.29364953275018
1000000_10_lin-lin,98.0,97.06414285060066
1000000_50_lin-lin,50.0,26.320559089013937
1000000_100_lin-lin,30.9,12.338639100737918
1000000_200_lin-lin,18.85,8.243741709698869
1000000_500_lin-lin,6.88,2.8929165600423863
1000000_10_lin-slin,100.0,100.0
1000000_50_lin-slin,45.2,30.054327305665748
1000000_100_lin-slin,27.1,13.725108627702923
1000000_200_lin-slin,13.4,5.807792452480752
1000000_500_lin-slin,4.74,2.216059345537231
1000000_10_lin-invlin,100.0,100.0
1000000_50_lin-invlin,62.8,53.646915778144624
1000000_100_lin-invlin,37.0,27.20875881907124
1000000_200_lin-invlin,19.35,12.666904022444385
1000000_500_lin-invlin,7.8,4.845576445377488
1000000_10_lin-randlin,98.0,96.32604524657165
1000000_50_lin-randlin,91.0,91.15447266212647
1000000_100_lin-randlin,79.7,64.11904310998439
1000000_200_lin-randlin,63.75,48.81050495561296
1000000_500_lin-randlin,38.58,20.896098096330057
1000000_10_lin-zipf,96.0,96.00987055772643
1000000_50_lin-zipf,52.4,52.419091203573906
1000000_100_lin-zipf,30.0,30.054284305890576
1000000_200_lin-zipf,16.7,16.766356416852016
1000000_500_lin-zipf,7.5,7.486488997647648
1000000_10_zipf-zipf,98.0,99.76766299096232
1000000_50_zipf-zipf,54.8,98.30647017069188
1000000_100_zipf-zipf,34.9,97.26178376427507
1000000_200_zipf-zipf,18.5,97.3913616463021
1000000_500_zipf-zipf,8.879999999999999,97.03190203332106
1000000_10_zipf-randzipf,100.0,100.0
1000000_50_zipf-randzipf,96.2,98.83180028360073
1000000_100_zipf-randzipf,81.8,96.28510163557078
1000000_200_zipf-randzipf,64.5,95.14543701822302
1000000_500_zipf-randzipf,38.0,93.08761539690667
1000000_10_zipf-invzipf,100.0,100.0
1000000_50_zipf-invzipf,66.6,82.40527520832624
1000000_100_zipf-invzipf,40.1,68.77787568211835
1000000_200_zipf-invzipf,24.95,61.20818209563382
1000000_500_zipf-invzipf,11.420000000000002,50.769698759617434





