exp,v-score,r-score,error
DF_1000_10_lin-lin,1,1,5
DF_1000_10_lin-lin,0.8,0.539076748,10
DF_1000_10_lin-lin,0.6,0.365147915,2
,,,
DF_1000_50_lin-lin,0.28,0.319399947,5
DF_1000_50_lin-lin,0.24,0.273265237,10
DF_1000_50_lin-lin,0.14,0.123214353,20
,,,
DF_1000_10_lin-slin,1,1,5
DF_1000_10_lin-slin,0.8,0.564051484,10
DF_1000_10_lin-slin,0.6,0.379215965,20
,,,
DF_1000_50_lin-slin,0.04,0.033543687,5
DF_1000_50_lin-slin,0.02,0.002710601,10
DF_1000_50_lin-slin,0.02,0.025157765,20
,,,
DF_1000_10_lin-invlin,1,1,5
DF_1000_10_lin-invlin,1,1,10
DF_1000_10_lin-invlin,0.8,0.74159939,20
,,,
DF_1000_50_lin-invlin,0.16,0.108089837,5
DF_1000_50_lin-invlin,0.14,0.098850747,10
DF_1000_50_lin-invlin,0.1,0.055134079,20
,,,
DF_1000_10_lin-randlin,1,1,5
DF_1000_10_lin-randlin,1,1,10
DF_1000_10_lin-randlin,1,1,20
,,,
DF_1000_50_lin-randlin,0.28,0.23290808,5
DF_1000_50_lin-randlin,0.26,0.204775924,10
DF_1000_50_lin-randlin,0.3,0.191909279,20
,,,
DF_1000_10_lin-zipf,1,1,5
DF_1000_10_lin-zipf,1,1,10
DF_1000_10_lin-zipf,1,1,20
,,,
DF_1000_50_lin-zipf,0.22,0.215340638,5
DF_1000_50_lin-zipf,0.22,0.224392568,10
DF_1000_50_lin-zipf,0.1,0.115412101,20
,,,
DF_1000_10_zipf-zipf,0.6,0.910174946,5
DF_1000_10_zipf-zipf,0.6,0.910174946,10
DF_1000_10_zipf-zipf,0.6,0.955024856,20
,,,
DF_1000_50_zipf-zipf,0.18,0.879588345,5
DF_1000_50_zipf-zipf,0.14,0.873331085,10
DF_1000_50_zipf-zipf,0.2,0.903680667,20
,,,
DF_1000_10_zipf-randzipf,1,1,5
DF_1000_10_zipf-randzipf,1,1,10
DF_1000_10_zipf-randzipf,1,1,20
,,,
DF_1000_50_zipf-randzipf,0.4,0.856082181,5
DF_1000_50_zipf-randzipf,0.32,0.785699756,10
DF_1000_50_zipf-randzipf,0.32,0.784784378,20
,,,
DF_1000_10_zipf-invzipf,1,1,5
DF_1000_10_zipf-invzipf,1,1,10
DF_1000_10_zipf-invzipf,0.8,0.899730821,20
,,,
DF_1000_50_zipf-invzipf,0.3,0.583464744,5
DF_1000_50_zipf-invzipf,0.32,0.608695652,10
DF_1000_50_zipf-invzipf,0.3,0.572989412,20
